datetime,SC1,SC2,SC3,SC4,SC5
2016-08-23 23:00:00,186.44,414.31,582.58,740.28,902.63
2016-08-24 01:00:00,176.24,396.9,566.74,721.54,833.67
2016-08-24 03:00:00,169.59,382.25,517.27,645.92,807.6
2016-08-24 05:00:00,124.76,331.7,476.1,596.18,656.86
2016-08-24 07:00:00,85.88,278.77,386.61,523.89,514.74
2016-08-24 09:00:00,76.19,213.7,291.71,383.56,530.17
2016-08-24 11:00:00,64.32,176.89,236.77,332.79,534.83
2016-08-24 13:00:00,69.57,176.95,236.18,314.63,577.2
2016-08-24 15:00:00,59.79,169.28,237.41,321.11,522.13
2016-08-24 17:00:00,53.09,146.56,230.06,353.01,658.58
2016-08-24 19:00:00,62.48,185.92,837.75,539.57,1072.78
2016-08-24 21:00:00,72.13,136.3,196.43,391.05,1035.36
2016-08-24 23:00:00,72.91,119.78,157.02,285.69,832.72
2016-08-25 01:00:00,74.05,137.82,179.94,318.63,754.15
2016-08-25 03:00:00,74.53,170.08,271.2,428.42,868.78
2016-08-25 05:00:00,86.2,183.89,301.94,493.81,907.5
2016-08-25 13:00:00,131.36,366.83,462.75,611.82,766.17
2016-08-25 15:00:00,81.71,212.33,309.69,442.44,618.79
2016-08-25 19:00:00,52.16,199.74,349.57,474.66,855.72
2016-08-25 21:00:00,55.45,233.28,394.71,584.89,1135.49
2016-08-25 23:00:00,70.22,276.0,446.28,582.49,1068.16
2016-08-26 01:00:00,83.06,291.82,425.56,593.69,847.14
2016-08-26 03:00:00,84.47,301.55,381.51,528.25,774.31
2016-08-26 05:00:00,74.39,268.75,255.77,347.64,676.0
2016-08-26 07:00:00,62.59,174.93,261.92,441.04,879.09
2016-08-26 09:00:00,69.14,234.48,318.51,503.55,1017.34
2016-08-26 13:00:00,69.5,235.66,348.45,630.12,1223.76
2016-08-26 15:00:00,78.62,302.73,416.02,574.36,1010.09
2016-08-26 17:00:00,59.42,247.47,370.38,543.93,896.8
2016-08-26 19:00:00,315.52,576.31,551.22,693.66,1996.86
2016-08-26 21:00:00,485.84,1121.11,1456.47,1748.85,2297.61
2016-08-26 23:00:00,521.58,1284.82,1605.17,2006.07,2595.68
2016-08-27 01:00:00,408.94,1174.51,1581.42,2033.58,2410.7
2016-08-27 03:00:00,132.68,549.59,813.29,1185.45,1204.18
2016-08-27 05:00:00,32.12,219.69,299.76,392.67,679.71
2016-08-27 09:00:00,13.84,118.83,227.8,378.48,686.18
2016-08-31 09:00:00,30.7,232.49,386.6,536.04,877.21
2016-08-31 11:00:00,51.1,313.49,433.03,607.52,937.92
2016-08-31 13:00:00,45.67,373.87,596.64,890.38,1789.28
2016-08-31 15:00:00,38.56,372.67,574.0,819.45,1750.99
2016-08-31 17:00:00,32.19,296.01,527.88,763.52,1579.36
2016-08-31 19:00:00,38.05,294.26,628.37,1034.86,1750.77
2016-08-31 21:00:00,68.13,277.44,364.44,592.59,1341.28
2016-08-31 23:00:00,125.81,286.84,367.63,527.11,766.48
2016-09-01 01:00:00,138.82,323.75,427.64,557.12,784.82
2016-09-01 03:00:00,174.22,402.95,556.05,698.02,873.03
2016-09-01 05:00:00,241.5,604.11,864.23,1037.11,1243.26
2016-09-01 13:00:00,248.13,762.38,872.12,879.25,1086.92
2016-09-01 15:00:00,226.3,616.55,777.58,951.68,1117.34
2016-09-01 17:00:00,204.76,583.5,798.76,838.57,1075.65
2016-09-01 19:00:00,185.86,565.79,754.8,908.34,1135.24
2016-09-01 21:00:00,207.38,599.18,765.28,999.89,1320.95
2016-09-01 23:00:00,196.93,681.39,848.74,1154.94,1376.36
2016-09-02 01:00:00,173.03,576.85,844.15,1097.7,1136.05
2016-09-02 03:00:00,147.45,376.69,564.55,812.4,1097.75
2016-09-02 05:00:00,120.03,346.05,475.78,705.91,1104.24
2016-09-02 07:00:00,90.72,343.27,504.93,749.48,1241.72
2016-09-02 09:00:00,64.02,355.87,499.8,748.63,1407.5
2016-09-02 11:00:00,25.34,264.33,478.03,804.92,1346.22
2016-09-02 13:00:00,39.68,321.84,596.48,960.07,1481.75
2016-09-02 15:00:00,34.39,67.12,121.96,428.34,1047.98
2016-09-02 17:00:00,14.79,76.48,137.28,340.49,821.85
2016-09-02 19:00:00,15.7,66.75,152.56,410.77,1138.83
2016-09-02 21:00:00,13.09,76.14,172.68,496.46,1381.99
2016-09-02 23:00:00,14.04,78.88,185.32,467.92,1275.69
2016-09-03 01:00:00,13.56,98.36,260.26,599.01,1241.77
2016-09-03 03:00:00,22.28,105.97,445.92,687.09,1284.75
2016-09-03 05:00:00,62.98,312.65,214.0,527.62,1475.7
2016-09-03 07:00:00,15.68,108.69,191.34,526.94,1128.49
2016-09-03 09:00:00,17.71,110.15,233.11,550.01,1293.26
2016-09-03 13:00:00,18.14,117.44,252.03,889.24,1704.65
2016-09-03 15:00:00,22.41,108.78,283.93,750.48,1474.51
2016-09-03 17:00:00,21.0,122.75,299.0,765.62,1521.22
2016-09-03 19:00:00,22.36,107.0,285.12,686.82,1407.18
2016-09-03 21:00:00,30.23,135.9,292.25,749.8,1379.27
2016-09-03 23:00:00,34.45,174.75,359.04,706.5,1025.48
2016-09-04 01:00:00,24.85,169.77,277.21,577.93,948.57
2016-09-04 03:00:00,14.88,82.82,129.78,363.11,693.12
2016-09-04 05:00:00,23.61,132.56,168.13,316.16,597.74
2016-09-04 09:00:00,17.13,61.45,105.72,321.89,629.28
2016-09-04 13:00:00,13.03,61.67,85.06,250.41,432.74
2016-09-04 17:00:00,16.8,106.64,195.84,334.36,503.76
2016-09-04 19:00:00,46.8,268.94,601.72,806.43,909.68
2016-09-04 21:00:00,69.97,410.42,632.0,1039.42,1324.09
2016-09-04 23:00:00,40.75,301.56,504.6,957.92,1186.26
2016-09-05 01:00:00,31.04,267.39,532.48,893.16,1092.08
2016-09-05 03:00:00,28.75,269.66,589.67,855.27,1017.93
2016-09-05 07:00:00,51.79,322.0,578.62,953.64,1072.33
2016-09-05 09:00:00,63.27,287.15,464.77,783.53,763.65
2016-09-05 11:00:00,15.07,140.44,200.24,277.48,630.18
2016-09-05 13:00:00,32.37,159.72,229.56,347.31,927.81
2016-09-05 15:00:00,19.46,129.93,175.57,210.22,584.63
