datetime,Org,NH4SO4,NH4NO3,eBC880,total_mass
2016-08-16 09:00:00,0.5740896806195416,0.3893499800680631,0.012823732477318498,0.023736606835076897,2.336033131663082
2016-08-16 11:00:00,0.6174447541908772,0.3332950780690191,0.01946060836888423,0.029799559371219368,2.115215839764304
2016-08-16 13:00:00,0.594875014054005,0.3507975070156317,0.010571241565552026,0.04375623736481125,1.8896848764810763
2016-08-16 15:00:00,0.780953836641438,0.14576722775649026,0.01582868939348212,0.0574502462085896,0.834722271265568
2016-08-17 11:00:00,0.6690539685675668,0.2625263959951459,0.019942204242698287,0.04847743119458906,2.1509803104344116
2016-08-17 13:00:00,0.6360968651401182,0.29981160289237213,0.014814276705716747,0.04927725526179296,2.6788220914233807
2016-08-17 15:00:00,0.7275314920577178,0.193964415923962,0.026027293600357656,0.0524767984179625,2.1684154413095778
2016-08-17 17:00:00,0.7443544074285127,0.18736580407807654,0.021749750611814906,0.04653003788159588,2.548407553454866
2016-08-17 19:00:00,0.7613876050173704,0.15281334822302264,0.024150751730729204,0.06164829502887764,2.7208538358024037
2016-08-17 21:00:00,0.7639997081367359,0.15040806872650375,0.02255121177783346,0.0630410113589269,2.8767939487430056
2016-08-17 23:00:00,0.7657322470121096,0.15519699235427697,0.023854842979739152,0.05521591765387425,2.873338101424598
2016-08-18 01:00:00,0.7839065084441822,0.13269722550489194,0.027594539503789366,0.055801726547136485,2.9780440549563547
2016-08-18 03:00:00,0.7763916758943874,0.14166482707643213,0.020442863619227238,0.061500633409953154,2.591428594525778
2016-08-18 05:00:00,0.6593710524255065,0.2660905955642003,0.02326632096581444,0.051272031044478854,2.411431680807462
2016-08-18 07:00:00,0.6682601536352342,0.25332455242445207,0.0220041468034763,0.056411147136837356,2.412493042729316
2016-08-18 09:00:00,0.7200368205520549,0.20300681961138078,0.0190891213305155,0.0578672385060489,2.6473183092016157
2016-08-18 11:00:00,0.7195875958447632,0.2113357010434299,0.016127684919904947,0.05294901819190208,2.5227191090849876
2016-08-18 13:00:00,0.6991258046476772,0.23790158007763507,0.019395168926663726,0.043577446348024254,3.4193949505431687
2016-08-18 15:00:00,0.6790662119675781,0.24073189341479942,0.023274533908997835,0.056927360708624634,3.0864244857461083
2016-08-18 17:00:00,0.6698685156157197,0.252821482953592,0.018570804252215103,0.058739197178473146,3.814080048102958
2016-08-18 19:00:00,0.6800980248566947,0.23508264426374334,0.02046808638109967,0.0643512444984623,3.8486435177787133
2016-08-18 21:00:00,0.6513726058113182,0.2680058518022265,0.018294806682149365,0.062326735704305906,3.4197844246361635
2016-08-18 23:00:00,0.6873808294591657,0.23075590836808993,0.021506586985918556,0.06035667518682583,2.9598631708426795
2016-08-19 01:00:00,0.7113133184140209,0.20552843265854662,0.022582917622678042,0.060575331304754336,3.2570189176087103
2016-08-19 03:00:00,0.7162275475038226,0.2039701220227753,0.020273009205446443,0.059529321267955605,3.3050603603288295
2016-08-19 05:00:00,0.6373990058502977,0.28537460678178683,0.022404311822200786,0.05482207554571477,3.92115763331042
2016-08-19 07:00:00,0.5519475635828689,0.38701362180628646,0.01498795880923721,0.04605085580160743,5.37837996034277
2016-08-19 09:00:00,0.6158281960738414,0.29599226742523804,0.020961462775260984,0.06721807372565967,3.972495568525448
2016-08-19 11:00:00,0.5992216244401245,0.3145930680557217,0.01954144652676052,0.06664386097739317,5.031626245570453
2016-08-19 13:00:00,0.5489286464275196,0.386958632255579,0.016177766563844922,0.04793495475305643,4.429700645257435
2016-08-19 15:00:00,0.5925392994786906,0.3208896066247106,0.016100309477210056,0.07047078441938878,3.6922605891756124
2016-08-19 17:00:00,0.5913911761414037,0.33650331653777643,0.018298097077404762,0.05380741024341514,4.071493108643158
2016-08-19 19:00:00,0.66136586422175,0.2742723018515657,0.019129097313479115,0.04523273661320517,6.850469885333854
2016-08-19 21:00:00,0.6436961692886337,0.29016250272531857,0.01825756353933953,0.047883764446708346,7.038439936673943
2016-08-19 23:00:00,0.685678349778491,0.24581948201224438,0.021632234964260366,0.04686993324500427,7.054127819463889
2016-08-20 01:00:00,0.6947914820222069,0.22329097956528887,0.025655585171518728,0.05626195324098549,5.519849242876378
2016-08-20 03:00:00,0.8015215768791607,0.12017685600782083,0.029904570712255694,0.04839699640076282,6.961020828860568
2016-08-20 05:00:00,0.7304487499806653,0.17068166579265706,0.03895651535420994,0.05991306887246764,6.621710546066041
2016-08-20 07:00:00,0.6353259080937884,0.27016793434752695,0.03462618111089192,0.059879976447792735,8.471287567092862
2016-08-20 09:00:00,0.5897633261221681,0.31649930240119567,0.025998696335604404,0.06773867514103182,8.930607200989687
2016-08-20 11:00:00,0.5885680100468054,0.31300925447929195,0.020970902543327903,0.07745183293057477,5.971692114950799
2016-08-20 13:00:00,0.6183365981392911,0.2647200361985748,0.02217763111360115,0.094765734548533,2.886433596522303
2016-08-20 15:00:00,0.6132383884500682,0.30423353962492916,0.02187822583053056,0.060649846094472,2.0501206187122207
2016-08-20 17:00:00,0.668044000679712,0.22741022408412487,0.021615142622188274,0.0829306326139749,2.4726689467631613
2016-08-20 19:00:00,0.6582556856199697,0.23115105723944873,0.019716877645427965,0.09087637949515352,2.5715868226513483
2016-08-20 21:00:00,0.7288906237682439,0.17462445204170932,0.02223251816797185,0.07425240602207502,3.0151480873689205
2016-08-20 23:00:00,0.719067510559325,0.15412722639402784,0.025973436209043445,0.1008318268376035,3.192965059717963
2016-08-21 01:00:00,0.7331549804387428,0.1408409065158055,0.03193791615655914,0.09406619688889255,3.489048253834045
