datetime,Org,NH4SO4,NH4NO3,eBC880
2016-08-16 10:00:00,0.6120646936539044,0.34443085154051367,0.013922248944222807,0.02958220586135904
2016-08-16 12:00:00,0.6131064261726028,0.33979957357813284,0.014185115463582258,0.032908884785682234
2016-08-17 12:00:00,0.6437908812586972,0.2798299946121338,0.017942268802414892,0.058436855326754134
2016-08-17 14:00:00,0.66838419516182,0.2620672674496953,0.01901676953230728,0.05053176785617751
2016-08-17 16:00:00,0.7340565951781323,0.18652336740217518,0.027211805852132606,0.05220823156756009
2016-08-17 18:00:00,0.7503160256820663,0.1682576145905843,0.0229612925051349,0.0584650672222145
2016-08-17 20:00:00,0.7516492667765875,0.1615014725020102,0.02290467482244983,0.06394458589895252
2016-08-17 22:00:00,0.7580378379239895,0.1568103273685327,0.02351717033173381,0.0616346643757439
2016-08-18 00:00:00,0.7708898632571616,0.1474813499321401,0.023855765903547533,0.057773020907150814
2016-08-18 02:00:00,0.7853568519259712,0.13225468625165063,0.02621778428686493,0.05617067753551315
2016-08-18 04:00:00,0.7679926239695044,0.1575813723765373,0.022679464789648118,0.05174653886431009
2016-08-18 06:00:00,0.657833155067183,0.2654699738027693,0.023212055293368537,0.05348481583667913
2016-08-18 08:00:00,0.6752753662743063,0.242319254962477,0.021731206700070418,0.060674172063146244
2016-08-18 10:00:00,0.6996575585093965,0.21562457431487583,0.020403285821391587,0.06431458135433618
2016-08-18 12:00:00,0.7260353132689352,0.21098841330652512,0.01446403622927968,0.048512237195260065
2016-08-18 14:00:00,0.7002318726009917,0.22856517360743844,0.020055197560373574,0.05114775623119635
2016-08-18 16:00:00,0.6857260870551879,0.23753326418784074,0.020714420646570537,0.056026228110400846
2016-08-18 18:00:00,0.6808382464403688,0.2369064263699382,0.01924307317572392,0.06301225401396907
2016-08-18 20:00:00,0.6653818849261987,0.25361968299755683,0.019860516115094585,0.061137915961149876
2016-08-18 22:00:00,0.6571706791295264,0.26718809666095533,0.02047370734636414,0.05516751686315409
2016-08-19 00:00:00,0.6970246072090117,0.22203599614353697,0.02103382654030921,0.05990557010714204
2016-08-19 02:00:00,0.7029812844581457,0.2130723150820441,0.021321772400936818,0.06262462805887342
2016-08-19 04:00:00,0.703095037301231,0.2174008353201671,0.021019502598800158,0.058484624779801694
2016-08-19 06:00:00,0.684350796760064,0.2231227284967728,0.024016619934023112,0.06850985480914012
2016-08-19 08:00:00,0.5879347549122883,0.33274161932264823,0.018214194574005832,0.0611094311910577
2016-08-19 12:00:00,0.5867630103944876,0.3358688801593804,0.01842726630761249,0.058940843138519654
2016-08-19 14:00:00,0.5543562584569793,0.3759283282153529,0.01623756268268679,0.05347785064498104
2016-08-19 16:00:00,0.5930957187929718,0.3284242849403216,0.01677427673231971,0.06170571953438677
2016-08-19 20:00:00,0.6315352292986205,0.2961761954914025,0.01916191294153557,0.05312666226844134
2016-08-19 22:00:00,0.6759011940301265,0.26143971001220684,0.018450564950924453,0.04420853100674216
2016-08-20 00:00:00,0.6703404804735397,0.2584038867748778,0.02198625497791654,0.04926937777366601
2016-08-20 02:00:00,0.7009616990064332,0.21547845278508712,0.02579391684441636,0.05776593136406331
2016-08-20 04:00:00,0.7630185698146685,0.14897305799000157,0.03272584455483687,0.055282527640493004
2016-08-20 06:00:00,0.7280261018377122,0.1669361831602656,0.03800599010008192,0.06703172490194022
2016-08-20 08:00:00,0.6310448148630509,0.2683474291545815,0.03411671415249854,0.06649104182986912
2016-08-20 10:00:00,0.5976040390420426,0.31066623483063055,0.027393145137995664,0.06433658098933115
2016-08-20 14:00:00,0.6331367099580076,0.2850695793473955,0.022708460796565518,0.05908524989803136
2016-08-20 16:00:00,0.6247222059909079,0.28247085666607746,0.023117805961745994,0.06968913138126874
2016-08-20 18:00:00,0.6456651641992117,0.24065621154810168,0.021208674881383536,0.09246994937130305
2016-08-20 20:00:00,0.6781958614468372,0.21028045480275556,0.019330160451966002,0.09219352329844144
2016-08-20 22:00:00,0.7107325925593013,0.17027422973589182,0.02167866448185862,0.09731451322294822
2016-08-21 00:00:00,0.7196516127982847,0.1561788637326286,0.026768653820240268,0.09740086964884642
2016-08-21 02:00:00,0.7278498179572553,0.13966218306202824,0.03327719705469107,0.09921080192602535
2016-08-21 04:00:00,0.7243559015509186,0.13828409101705716,0.03607037128869307,0.10128963614333134
2016-08-21 08:00:00,0.6853861143342327,0.21624304817173107,0.02516245045490614,0.07320838703913023
2016-08-21 14:00:00,0.6343771789803702,0.2965426021061195,0.017080780789802394,0.051999438123707935
2016-08-21 16:00:00,0.6556687586930323,0.263796129886988,0.016819871260425927,0.06371524015955386
2016-08-21 18:00:00,0.6449139650517829,0.27284453028378547,0.017752445530160255,0.06448905913427119
2016-08-21 20:00:00,0.587483649328809,0.3357515969753527,0.01654730142382205,0.06021745227201639
2016-08-21 22:00:00,0.5625856398004975,0.3620526241246164,0.018091490960445045,0.05727024511444117
2016-08-22 00:00:00,0.5672911128069426,0.35757903490160226,0.01841810654399043,0.05671174574746487
2016-08-22 02:00:00,0.6342282804459267,0.29399073876872583,0.019644571609844102,0.052136409175503294
2016-08-22 04:00:00,0.6315114333037373,0.29527011867221287,0.02054555821658917,0.05267288980746092
2016-08-22 06:00:00,0.5909736200956112,0.33123875675268727,0.019323032773259058,0.05846459037844238
2016-08-22 08:00:00,0.5942568655792746,0.32622412802040446,0.019569566105207648,0.05994944029511339
2016-08-22 10:00:00,0.6174355670029542,0.3014732863102973,0.019264040256740233,0.06182710643000825
