datetime,mode1_d,mode1_sigma,mode1_n,mode2_d,mode2_sigma,mode2_n
2016-08-16 09:00:00,49.252044986558545,1.75,130.16362539242655,170.59108258671063,1.75,155.6444654860574
2016-08-16 11:00:00,54.537796345605905,1.75,104.77989722348974,177.92222397801424,1.75,220.18989273414454
2016-08-16 13:00:00,46.50672387383336,1.75,93.76258896758964,177.92222397801424,1.75,276.5777492033127
2016-08-16 15:00:00,46.50672387383336,1.75,137.25872418249483,167.81481554547315,1.75,314.1397513423148
2016-08-17 11:00:00,54.537796345605905,1.75,749.3904568105381,177.92222397801424,1.75,264.3626372556862
2016-08-17 13:00:00,56.74654359310128,1.75,721.8829768136889,170.59108258671063,1.75,265.9353955238959
2016-08-17 15:00:00,37.101714098457045,1.75,192.86262258843104,98.99999999999994,1.75,881.6987878291762
2016-08-17 17:00:00,54.537796345605905,1.75,242.62491932364298,105.10687191318655,1.75,784.3600363749167
2016-08-17 19:00:00,21.05394036466873,1.75,354.30882299100347,98.99999999999994,1.75,1077.3692411567936
2016-08-17 21:00:00,28.838338206359808,1.75,326.1152708345183,105.10687191318655,1.75,1063.1669666480855
2016-08-17 23:00:00,27.948833178791297,1.75,865.2756756057399,113.42674707060763,1.75,1028.71503974742
2016-08-18 01:00:00,24.59169093383166,1.75,578.7200765069613,105.10687191318655,1.75,1086.5243015549756
2016-08-18 03:00:00,24.59169093383166,1.75,392.7323176254023,105.10687191318655,1.75,1149.2837586592552
2016-08-18 05:00:00,24.59169093383166,1.75,206.4416731133395,99.13595911915246,1.75,1179.7655651643029
2016-08-18 07:00:00,75.33030173383163,1.75,738.3118746731412,148.89360412999696,1.75,260.2022392420637
2016-08-18 09:00:00,63.95572473141427,1.75,502.9882769778687,158.281588926413,1.75,368.494054933934
2016-08-18 11:00:00,75.33030173383163,1.75,591.9214787464094,170.59108258671063,1.75,236.17902257380692
2016-08-18 13:00:00,49.252044986558545,1.75,497.6866197643577,148.89360412999696,1.75,280.2097769898066
2016-08-18 15:00:00,54.537796345605905,1.75,467.1596663336034,167.81481554547315,1.75,419.96351675229397
2016-08-18 17:00:00,33.818323137766015,1.75,436.2128226985475,118.1492334832489,1.75,710.9588212489956
2016-08-18 19:00:00,37.101714098457045,1.75,1275.739572317426,148.89360412999696,1.75,649.8529050903983
2016-08-18 21:00:00,37.101714098457045,1.75,1931.423300485998,148.89360412999696,1.75,619.182222123602
2016-08-18 23:00:00,32.20170209763737,1.75,522.5185564407126,113.42674707060763,1.75,778.70002623911
2016-08-19 01:00:00,63.95572473141427,1.75,599.4008099079889,167.81481554547315,1.75,381.8583010936964
2016-08-19 03:00:00,65.38145188981625,1.75,597.8879452761901,170.59108258671063,1.75,362.3407160937913
2016-08-19 05:00:00,65.38145188981625,1.75,513.6484319212533,170.59108258671063,1.75,406.7046056637458
2016-08-19 07:00:00,65.38145188981625,1.75,504.2494754964667,170.59108258671063,1.75,402.8549644853627
2016-08-19 09:00:00,75.33030173383163,1.75,829.1272540601464,195.45041997034318,1.75,423.9008474668492
2016-08-19 11:00:00,86.79303067287812,1.75,1123.6767586330336,223.93237728101224,1.75,185.32564875051833
2016-08-19 13:00:00,39.65828306979712,1.75,632.0125210343408,111.43741001281846,1.75,1463.3940443506267
2016-08-19 15:00:00,27.948833178791297,1.75,439.87854124288253,98.99999999999994,1.75,1701.467446058976
2016-08-19 17:00:00,17.882355092578585,1.75,245.3945127565149,99.13595911915246,1.75,1625.270702138686
2016-08-19 19:00:00,15.249053064671498,1.75,504.24108923040296,83.18241346752067,1.75,1812.1336236181369
2016-08-19 21:00:00,28.838338206359808,1.75,901.5137072038814,78.45698564561687,1.75,3774.702326917704
2016-08-19 23:00:00,24.59169093383166,1.75,139.22594242451473,78.45698564561687,1.75,3939.673699042377
2016-08-20 01:00:00,75.33030173383163,1.75,4392.76719390707,336.7888761087688,1.75,30.239224211511985
2016-08-20 03:00:00,75.00000000000001,1.75,2953.2767118881543,200.00000000000003,1.75,152.64538747894568
2016-08-20 05:00:00,63.95572473141427,1.75,1664.9825956811017,111.43741001281846,1.75,1383.6622019275487
2016-08-20 07:00:00,75.33030173383163,1.75,2471.1200560630896,170.59108258671063,1.75,424.64150513375864
2016-08-20 09:00:00,75.00000000000001,1.75,1933.7833731313615,177.92222397801424,1.75,625.0580104177317
2016-08-20 11:00:00,86.79303067287812,1.75,1630.7593537431987,195.45041997034318,1.75,662.8918850811252
2016-08-20 13:00:00,75.00000000000001,1.75,876.2549203775159,149.28992599155407,1.75,829.8548349870555
2016-08-20 15:00:00,65.38145188981625,1.75,680.2825143971221,148.89360412999696,1.75,607.2873229080101
2016-08-20 17:00:00,15.249053064671498,1.75,190.4833899208522,88.19245161336553,1.75,849.9814510350126
2016-08-20 19:00:00,17.882355092578585,1.75,362.1057901822434,88.19245161336553,1.75,1115.9530890860908
2016-08-20 21:00:00,28.838338206359808,1.75,228.4953112843633,99.13595911915246,1.75,1096.7144813761508
2016-08-20 23:00:00,28.838338206359808,1.75,425.62862039877905,105.10687191318655,1.75,1180.9874817016137
2016-08-21 01:00:00,37.101714098457045,1.75,572.5041323200669,98.99999999999994,1.75,1376.3010086926688
2016-08-21 03:00:00,37.101714098457045,1.75,847.8311258993762,98.99999999999994,1.75,1269.5477755997458
2016-08-21 07:00:00,75.33030173383163,1.75,965.2508782675328,170.59108258671063,1.75,127.92135719362983
2016-08-21 09:00:00,63.95572473141427,1.75,637.6996193198255,149.28992599155407,1.75,339.65093464221104
2016-08-21 11:00:00,75.00000000000001,1.75,748.7305690530653,149.28992599155407,1.75,239.00873632637663
2016-08-21 13:00:00,17.882355092578585,1.75,502.95324627977044,105.10687191318655,1.75,1522.1285444810312
2016-08-21 15:00:00,20.97039221392209,1.75,492.93847963470176,111.43741001281846,1.75,1647.3586214823479
2016-08-21 17:00:00,24.59169093383166,1.75,493.3038882900222,111.43741001281846,1.75,1887.8757961556428
2016-08-21 19:00:00,21.05394036466873,1.75,359.1248423946668,113.42674707060763,1.75,2179.365757947148
2016-08-21 21:00:00,37.101714098457045,1.75,782.5009548629615,129.95582778807707,1.75,2189.013369184394
